"Qty";"Value";"Device";"Package";"Parts";"Description";"BE#";"CURRENT";"DIELECTRIC";"INDUCTANCE";"POWER";"TEMPERATURE_COEFFICIENT";"TOLERANCE";"VALUE";"VOLTAGE";
"3";"";"PM_ASSEMBLY";"PM1";"PM1, PM2, PM3";"Passing Marker";"0";"";"";"";"";"";"";"";"";
"2";"0R";"R_0R_0402N";"0402N";"R4, R5";"Resistor";"1054";"";"";"";"";"";"";"0R";"";
"1";"0ZCH0150FF2E";"FUSE-2PIN_1.5A_1210N";"1210N";"F1";"Fuse with two Pins.";"2289";"1.5";"";"";"";"";"";"0ZCH0150FF2E";"";
"6";"100K";"R_100K_0402N";"0402N";"R10, R11, R12, R14, R15, R16";"Resistor";"615";"";"";"";"0.063";"100";"1%";"100K";"50";
"5";"100n";"C_100N_0402N";"0402N";"C8, C16, C19, C20, C28";"Capacitor";"756";"";"X7R";"";"";"";"";"100n";"16";
"2";"10K";"RN4_10K_CAY16";"CAY16";"RN5, RN6";"Quad Resistor Net";"196";"";"";"";"0.062";"";"5%";"10K";"50";
"2";"10K";"R_10K_0402N";"0402N";"R3, R13";"Resistor";"616";"";"";"";"0.063";"100";"1%";"10K";"50";
"2";"10n";"C_10N_0402N";"0402N";"C22, C27";"Capacitor";"617";"";"X7R";"";"";"";"";"10n";"25";
"2";"12p";"C_12P_0402N";"0402N";"C14, C15";"Capacitor";"754";"";"NPO";"";"";"";"";"12p";"50";
"2";"1K";"R_1K_0402N";"0402N";"R1, R18";"Resistor";"1088";"";"";"";"0.063";"100";"1%";"1K";"50";
"2";"1M";"R_1M_0402N";"0402N";"R8, R9";"Resistor";"1089";"";"";"";"0.063";"100";"1%";"1M";"50";
"2";"1X10-2.00-SMT";"1X10_2.00-SMT";"1X10-2.00-SMD";"X10, X11";"Pin Header";"2288";"";"";"";"";"";"";"1X10-2.00-SMT";"";
"3";"1u";"C_1U_0402N";"0402N";"C9, C12, C13";"Capacitor";"901";"";"X5R";"";"";"";"";"1u";"10";
"1";"1u";"L_WE-LQS-1U_5040";"5040";"L1";"Inductor";"2282";"4.9";"";"1u";"";"";"";"1u";"";
"5";"22u";"C_22U_0805N";"0805N";"C1, C2, C7, C17, C18";"Capacitor";"208";"";"X5R";"";"";"";"";"22u";"6V3";
"1";"2K";"R_2K_0402N";"0402N";"R2";"Resistor";"1057";"";"";"";"0.063";"100";"1%";"2K";"50";
"1";"2n2";"C_2N2_0402N";"0402N";"C21";"Capacitor";"752";"";"X7R";"";"";"";"";"2n2";"50";
"1";"32K768";"CRYSTAL-1GND_1.4X1.5X5.2";"1.4X1.5X5.2";"XT1";"Crystal with one Ground Terminal";"830";"";"";"";"";"";"";"32K768";"";
"3";"330R";"RN4_330R_CAY16";"CAY16";"RN1, RN3, RN4";"Quad Resistor Net";"483";"";"";"";"0.062";"";"5%";"330R";"50";
"1";"33K";"R_33K_0402N";"0402N";"R17";"Resistor";"1428";"";"";"";"0.063";"100";"1%";"33K";"50";
"1";"452403012014";"DPDT_WS-SLSV";"WS-SLSV";"SW1";"Switch - Double Pole, Double Throw";"2294";"";"";"";"";"";"";"452403012014";"";
"6";"4u7";"C_4U7_0603N";"0603N";"C3, C4, C5, C6, C26, C29";"Capacitor";"284";"";"X5R";"";"";"";"";"4u7";"6V3";
"2";"5K1";"R_5K1_0402N";"0402N";"R6, R7";"Resistor";"2285";"";"";"";"0.063";"100";"1%";"5K1";"50";
"1";"7427927291";"L_WE-CBF-7427927291_0402N";"0402N";"L2";"Inductor";"1925";"0.3";"";"";"";"";"";"7427927291";"";
"1";"82400152";"TVS-3-CHANNELS_WE-TVS_SOT563";"SOT563";"D3";"TVS Suppressor Diodes Array";"2015";"";"";"";"";"";"";"82400152";"";
"1";"B4B-PH-SM4-TB";"SH-02_B4B-PH-SM4-TB_B4B-PH-SM4-TB";"B4B-PH-SM4-TB";"X2";"SH Connector";"2370";"";"";"";"";"";"";"B4B-PH-SM4-TB";"";
"1";"BE_LOGO_10MM_T";"BE_LOGO_10MM_T";"BE_TOP_10MM";"U$3";"Budelmann Elektronik Logo for pcb print in different sizes.";"0";"";"";"";"";"";"";"";"";
"1";"BM02B-SRSS";"SH-02_BM02B-SRSS_BM02B-SRSS";"BM02B-SRSS";"X9";"SH Connector";"2286";"";"";"";"";"";"";"BM02B-SRSS";"";
"6";"BM04B-SRSS";"SH-04_BM04B-SRSS_BM04B-SRSS";"BM04B-SRSS";"X3, X4, X5, X6, X7, X8";"SH Connector";"2287";"";"";"";"";"";"";"BM04B-SRSS";"";
"1";"BM05B-SRSS";"SH-05_BM05B-SRSS_BM05B-SRSS";"BM05B-SRSS";"IC9";"SH Connector";"2369";"";"";"";"";"";"";"BM05B-SRSS";"";
"2";"DZDH0401DW-7";"DZDH0401DW";"SOT363";"IC4, IC5";"Ideal Diode Controller";"2290";"";"";"";"";"";"";"DZDH0401DW-7";"";
"1";"ESP32-S2-MINI-1-N4";"ESP32-S2-MINI_ESP32-S2-MINI-1-N4_ESP32-S2-MINI";"ESP32-S2-MINI";"IC3";"2.4 GHz WiÂ­Fi (802.11 b/g/n) module built around ESP32-S2 series of SoCs, Xtensa Single Core 32-bit LX7 Microprocessor";"2275";"";"";"";"";"";"";"ESP32-S2-MINI-1-N4";"";
"1";"ICM-42670-P";"ICM-42670-P_LGA14_2.5X3";"LGA14_2.5X3";"IC8";"high performance 6-axis MEMS MotionTracking IMU";"2357";"";"";"";"";"";"";"ICM-42670-P";"";
"1";"IN-S63DTLS";"PHOTODIODE_IN-S63DTLS_0603N";"0603N";"D5";"Photo diode";"2296";"";"";"";"";"";"";"IN-S63DTLS";"";
"1";"LM66200DRLR";"LM66200";"SOT-5X3";"D2";"LM66200 1.6-5V, 2.5A Dual Ideal Diode with Automatic Switchover";"2291";"";"";"";"";"";"";"LM66200DRLR";"";
"1";"MCP73831T-2ACI/OT ";"MCP73831_MCP73831T-2ACI/OT_SOT23-5";"SOT23-5";"IC2";"Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controllers up to 500mA";"2283";"";"";"";"";"";"";"MCP73831T-2ACI/OT ";"";
"1";"MEM2051-00-195-00-A";"SD-CARD2_MEM2051";"MEM2051";"X12";"SD Card with Card Detection (Single Pin Contacting GND)";"2293";"";"";"";"";"";"";"MEM2051-00-195-00-A";"";
"1";"MPU-6050";"MPU-6050";"QFN24_4X4";"IC6";"6-Axis Inertial Measurement Unit Combining a 3-Axis Gyroscope and a 3-Axis Accelerometer";"2297";"";"";"";"";"";"";"MPU-6050";"";
"1";"NX3008NBKS";"MOSFET-N-DUAL_NX3008NBKS_SOT363";"SOT363";"Q6";"Dual Mosfet";"405";"0.35";"";"";"0.3";"";"";"NX3008NBKS";"30";
"4";"PMV48XP";"MOSFET-P_PMV48XP_SOT23'";"SOT23";"Q2, Q3, Q4, Q5";"Single P-Channel Mosfet";"271";"3.5";"";"";"";"";"";"PMV48XP";"20";
"1";"RP602Z330C-E2-F";"RP602_RP602Z330C-E2-F_WLCSP-20-P1";"WLCSP-20-P1";"IC1";"1.5 A PWM/VFM Buck-Boost DC/DC Converter with Synchronous Rectifier";"2281";"";"";"";"";"";"";"RP602Z330C-E2-F";"";
"1";"SIA911ADJ-T1-GE3";"MOSFET-P-DUAL_SIA911ADJ-T1-GE3_POWERPAK-SC70-6";"POWERPAK-SC70-6";"Q1";"Dual Mosfet with Common Drain Pins";"2292";"4.5";"";"";"";"";"";"SIA911ADJ-T1-GE3";"20";
"1";"USB4105-GF-A";"USB-C-2.0_USB4105-GF-A_USB4105";"USB4105";"X1";"USB-C Connector with USB 2.0 Support";"2284";"";"";"";"";"";"";"USB4105-GF-A";"";
"1";"WS-TASU";"TACTILE_SWITCH_WS-TASU";"WS-TASU";"SW3";"Tactile Switch";"778";"";"";"";"";"";"";"WS-TASU";"";
"1";"WS-TRS-6x3.5";"TACTILE_SWITCH_WS-TRS-6X3.5";"WS-TRS-6X3.5";"SW2";"Tactile Switch";"272";"";"";"";"";"";"";"WS-TRS-6x3.5";"";
"1";"WS2812B";"LED-ADRESSABLE_WS2812B_5050";"5050";"D4";"Adressable LED with Data-In and Data-Out Pins";"2295";"";"";"";"";"";"";"WS2812B";"";
"1";"green";"LED_GREEN_0603N";"0603N";"D6";"Single LED";"223";"";"";"";"";"";"";"green";"";
"2";"opt";"C_0402N";"0402N";"C10, C11";"Capacitor";"0";"";"";"";"";"";"";"opt";"";
"1";"red";"LED_RED_0603N";"0603N";"D1";"Single LED";"224";"";"";"";"";"";"";"red";"";
